sale_id,sale_date,customer_id,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,city,state,store_id,payment_mode
S000260001,2026-06-27,C31580,P0006,Rice Bag,Grocery,4,250,5,950.0,Delhi,Delhi,ST001,Debit Card
S000260002,2026-06-27,C29718,P0007,Milk,Grocery,4,282,0,1128.0,Delhi,Delhi,ST001,UPI
S000260003,2026-06-27,C38001,P0007,Milk,Grocery,2,125,20,200.0,Hyderabad,Telangana,ST004,Net Banking
S000260004,2026-06-27,C11889,P0003,Laptop,Electronics,2,34638,5,65812.2,Jaipur,Rajasthan,ST009,Cash
S000260005,2026-06-27,C07492,P0007,Milk,Grocery,4,287,0,1148.0,Lucknow,Uttar Pradesh,ST010,Net Banking
S000260006,2026-06-27,C18275,P0003,Laptop,Electronics,5,69927,20,279708.0,Lucknow,Uttar Pradesh,ST010,Cash
S000260007,2026-06-27,C16465,P0008,Dining Table,Home,3,6676,10,18025.2,Delhi,Delhi,ST001,UPI
S000260008,2026-06-27,C38305,P0003,Laptop,Electronics,2,34204,5,64987.6,Ahmedabad,Gujarat,ST008,Debit Card
S000260009,2026-06-27,C39197,P0006,Rice Bag,Grocery,5,402,5,1909.5,Chennai,Tamil Nadu,ST005,UPI
S000260010,2026-06-27,C34126,P0008,Dining Table,Home,5,738,20,2952.0,Chennai,Tamil Nadu,ST005,Net Banking
S000260011,2026-06-27,C29003,P0008,Dining Table,Home,5,2493,10,11218.5,Ahmedabad,Gujarat,ST008,Credit Card
S000260012,2026-06-27,C10724,P0010,Cricket Bat,Sports,4,11650,0,46600.0,Bengaluru,Karnataka,ST003,Credit Card
S000260013,2026-06-27,C34493,P0001,iPhone 16,Electronics,4,17558,0,70232.0,Chennai,Tamil Nadu,ST005,UPI
S000260014,2026-06-27,C11038,P0001,iPhone 16,Electronics,5,50361,10,226624.5,Bengaluru,Karnataka,ST003,Net Banking
S000260015,2026-06-27,C10147,P0002,Samsung TV,Electronics,5,12686,15,53915.5,Ahmedabad,Gujarat,ST008,Credit Card
S000260016,2026-06-27,C49480,P0003,Laptop,Electronics,1,12477,10,11229.3,Mumbai,Maharashtra,ST002,UPI
S000260017,2026-06-27,C15146,P0006,Rice Bag,Grocery,4,459,5,1744.2,Lucknow,Uttar Pradesh,ST010,Cash
S000260018,2026-06-27,C41120,P0004,Men T-Shirt,Fashion,1,2699,5,2564.05,Chennai,Tamil Nadu,ST005,Net Banking
S000260019,2026-06-27,C12177,P0009,Office Chair,Home,5,3917,5,18605.75,Jaipur,Rajasthan,ST009,Credit Card
S000260020,2026-06-27,C16942,P0008,Dining Table,Home,3,4170,10,11259.0,Bengaluru,Karnataka,ST003,UPI
S000260021,2026-06-27,C36273,P0004,Men T-Shirt,Fashion,3,1573,0,4719.0,Lucknow,Uttar Pradesh,ST010,Debit Card
S000260022,2026-06-27,C23930,P0008,Dining Table,Home,5,6157,10,27706.5,Hyderabad,Telangana,ST004,Net Banking
S000260023,2026-06-27,C40406,P0010,Cricket Bat,Sports,5,905,5,4298.75,Chennai,Tamil Nadu,ST005,Debit Card
S000260024,2026-06-27,C17824,P0008,Dining Table,Home,3,2547,20,6112.8,Jaipur,Rajasthan,ST009,Cash
S000260025,2026-06-27,C02993,P0002,Samsung TV,Electronics,2,87006,20,139209.6,Chennai,Tamil Nadu,ST005,UPI
S000260026,2026-06-27,C48827,P0005,Women's Jeans,Fashion,4,2080,15,7072.0,Pune,Maharashtra,ST006,Cash
