sale_id,sale_date,customer_id,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,city,state,store_id,payment_mode
S000140001,2026-06-15,C28908,P0004,Men T-Shirt,Fashion,4,4544,20,14540.8,Ahmedabad,Gujarat,ST008,Debit Card
S000140002,2026-06-15,C17702,P0003,Laptop,Electronics,2,45764,5,86951.6,Delhi,Delhi,ST001,Debit Card
S000140003,2026-06-15,C38555,P0001,iPhone 16,Electronics,4,10880,20,34816.0,Pune,Maharashtra,ST006,Credit Card
S000140004,2026-06-15,C21791,P0005,Women's Jeans,Fashion,4,1473,20,4713.6,Delhi,Delhi,ST001,Net Banking
S000140005,2026-06-15,C34112,P0005,Women's Jeans,Fashion,4,1845,5,7011.0,Ahmedabad,Gujarat,ST008,UPI
S000140006,2026-06-15,C30660,P0010,Cricket Bat,Sports,1,4928,0,4928.0,Delhi,Delhi,ST001,Credit Card
S000140007,2026-06-15,C06936,P0003,Laptop,Electronics,3,60079,15,153201.45,Bengaluru,Karnataka,ST003,Credit Card
S000140008,2026-06-15,C13162,P0006,Rice Bag,Grocery,1,177,5,168.15,Ahmedabad,Gujarat,ST008,Net Banking
S000140009,2026-06-15,C21590,P0007,Milk,Grocery,4,202,5,767.6,Lucknow,Uttar Pradesh,ST010,Cash
S000140010,2026-06-15,C41698,P0004,Men T-Shirt,Fashion,5,1666,15,7080.5,Bengaluru,Karnataka,ST003,Net Banking
S000140011,2026-06-15,C14077,P0001,iPhone 16,Electronics,3,15897,5,45306.45,Bengaluru,Karnataka,ST003,Cash
S000140012,2026-06-15,C02837,P0002,Samsung TV,Electronics,1,68049,5,64646.55,Delhi,Delhi,ST001,Debit Card
S000140013,2026-06-15,C33307,P0005,Women's Jeans,Fashion,5,3339,0,16695.0,Kolkata,West Bengal,ST007,Debit Card
S000140014,2026-06-15,C27052,P0006,Rice Bag,Grocery,5,410,10,1845.0,Chennai,Tamil Nadu,ST005,Cash
S000140015,2026-06-15,C24697,P0003,Laptop,Electronics,1,59692,10,53722.8,Chennai,Tamil Nadu,ST005,Net Banking
S000140016,2026-06-15,C17740,P0003,Laptop,Electronics,2,12002,15,20403.4,Jaipur,Rajasthan,ST009,Cash
S000140017,2026-06-15,C37013,P0009,Office Chair,Home,5,4690,5,22277.5,Lucknow,Uttar Pradesh,ST010,Debit Card
S000140018,2026-06-15,C26935,P0007,Milk,Grocery,3,396,20,950.4,Mumbai,Maharashtra,ST002,Credit Card
S000140019,2026-06-15,C34884,P0003,Laptop,Electronics,2,87800,0,175600.0,Hyderabad,Telangana,ST004,UPI
S000140020,2026-06-15,C40025,P0004,Men T-Shirt,Fashion,1,633,15,538.05,Delhi,Delhi,ST001,Net Banking
S000140021,2026-06-15,C17854,P0002,Samsung TV,Electronics,3,59647,0,178941.0,Mumbai,Maharashtra,ST002,Debit Card
S000140022,2026-06-15,C10830,P0009,Office Chair,Home,2,7423,20,11876.8,Mumbai,Maharashtra,ST002,Credit Card
S000140023,2026-06-15,C23774,P0009,Office Chair,Home,2,9682,5,18395.8,Hyderabad,Telangana,ST004,Debit Card
S000140024,2026-06-15,C01757,P0006,Rice Bag,Grocery,2,396,0,792.0,Delhi,Delhi,ST001,Cash
S000140025,2026-06-15,C38766,P0003,Laptop,Electronics,2,23924,5,45455.6,Lucknow,Uttar Pradesh,ST010,Credit Card
S000140026,2026-06-15,C34520,P0005,Women's Jeans,Fashion,2,1496,0,2992.0,Mumbai,Maharashtra,ST002,Cash
S000140027,2026-06-15,C46836,P0001,iPhone 16,Electronics,4,37904,10,136454.4,Jaipur,Rajasthan,ST009,Cash
S000140028,2026-06-15,C27320,P0007,Milk,Grocery,4,97,10,349.2,Hyderabad,Telangana,ST004,UPI
S000140029,2026-06-15,C22991,P0002,Samsung TV,Electronics,3,86728,10,234165.6,Mumbai,Maharashtra,ST002,Cash
S000140030,2026-06-15,C49599,P0010,Cricket Bat,Sports,2,8794,10,15829.2,Mumbai,Maharashtra,ST002,UPI
S000140031,2026-06-15,C05568,P0008,Dining Table,Home,1,4446,0,4446.0,Chennai,Tamil Nadu,ST005,Net Banking
S000140032,2026-06-15,C41024,P0009,Office Chair,Home,5,4838,10,21771.0,Ahmedabad,Gujarat,ST008,Credit Card
S000140033,2026-06-15,C46522,P0002,Samsung TV,Electronics,2,64013,5,121624.7,Delhi,Delhi,ST001,Debit Card
S000140034,2026-06-15,C35369,P0008,Dining Table,Home,5,4611,5,21902.25,Chennai,Tamil Nadu,ST005,UPI
S000140035,2026-06-15,C26665,P0008,Dining Table,Home,5,5174,20,20696.0,Delhi,Delhi,ST001,Credit Card
S000140036,2026-06-15,C18154,P0008,Dining Table,Home,5,7091,15,30136.75,Pune,Maharashtra,ST006,Net Banking
S000140037,2026-06-15,C15027,P0004,Men T-Shirt,Fashion,5,2230,5,10592.5,Delhi,Delhi,ST001,Net Banking
S000140038,2026-06-15,C46895,P0007,Milk,Grocery,5,208,20,832.0,Pune,Maharashtra,ST006,Net Banking
S000140039,2026-06-15,C07164,P0005,Women's Jeans,Fashion,1,3165,5,3006.75,Lucknow,Uttar Pradesh,ST010,Net Banking
S000140040,2026-06-15,C35435,P0002,Samsung TV,Electronics,4,46229,15,157178.6,Ahmedabad,Gujarat,ST008,Debit Card
S000140041,2026-06-15,C19211,P0006,Rice Bag,Grocery,4,467,10,1681.2,Ahmedabad,Gujarat,ST008,UPI
S000140042,2026-06-15,C13045,P0007,Milk,Grocery,1,213,15,181.05,Hyderabad,Telangana,ST004,Net Banking
S000140043,2026-06-15,C39541,P0008,Dining Table,Home,3,2950,15,7522.5,Bengaluru,Karnataka,ST003,Credit Card
S000140044,2026-06-15,C11269,P0005,Women's Jeans,Fashion,2,2697,15,4584.9,Pune,Maharashtra,ST006,Credit Card
S000140045,2026-06-15,C28096,P0009,Office Chair,Home,1,2213,15,1881.05,Kolkata,West Bengal,ST007,Credit Card
S000140046,2026-06-15,C46415,P0008,Dining Table,Home,1,5585,15,4747.25,Chennai,Tamil Nadu,ST005,Credit Card
S000140047,2026-06-15,C06507,P0007,Milk,Grocery,2,189,15,321.3,Ahmedabad,Gujarat,ST008,Cash
S000140048,2026-06-15,C19840,P0001,iPhone 16,Electronics,4,23362,20,74758.4,Ahmedabad,Gujarat,ST008,UPI
S000140049,2026-06-15,C09120,P0001,iPhone 16,Electronics,5,11499,20,45996.0,Ahmedabad,Gujarat,ST008,Credit Card
S000140050,2026-06-15,C34905,P0006,Rice Bag,Grocery,1,482,20,385.6,Pune,Maharashtra,ST006,Debit Card
S000140051,2026-06-15,C22469,P0006,Rice Bag,Grocery,2,489,20,782.4,Hyderabad,Telangana,ST004,Cash
S000140052,2026-06-15,C12026,P0005,Women's Jeans,Fashion,1,3272,20,2617.6,Lucknow,Uttar Pradesh,ST010,Cash
S000140053,2026-06-15,C34527,P0009,Office Chair,Home,5,7971,10,35869.5,Chennai,Tamil Nadu,ST005,Credit Card
S000140054,2026-06-15,C09469,P0009,Office Chair,Home,1,1774,20,1419.2,Lucknow,Uttar Pradesh,ST010,Net Banking
S000140055,2026-06-15,C10247,P0009,Office Chair,Home,1,1836,15,1560.6,Pune,Maharashtra,ST006,Credit Card
S000140056,2026-06-15,C16910,P0010,Cricket Bat,Sports,3,4009,20,9621.6,Bengaluru,Karnataka,ST003,UPI
S000140057,2026-06-15,C37766,P0010,Cricket Bat,Sports,5,9996,10,44982.0,Mumbai,Maharashtra,ST002,Net Banking
S000140058,2026-06-15,C05517,P0008,Dining Table,Home,4,858,15,2917.2,Lucknow,Uttar Pradesh,ST010,Credit Card
S000140059,2026-06-15,C00553,P0008,Dining Table,Home,1,2260,20,1808.0,Hyderabad,Telangana,ST004,Cash
S000140060,2026-06-15,C29842,P0010,Cricket Bat,Sports,5,3165,10,14242.5,Ahmedabad,Gujarat,ST008,Credit Card
S000140061,2026-06-15,C49476,P0007,Milk,Grocery,4,51,5,193.8,Lucknow,Uttar Pradesh,ST010,UPI
S000140062,2026-06-15,C37103,P0009,Office Chair,Home,1,836,10,752.4,Pune,Maharashtra,ST006,Net Banking
S000140063,2026-06-15,C17576,P0004,Men T-Shirt,Fashion,5,3148,10,14166.0,Ahmedabad,Gujarat,ST008,Debit Card
S000140064,2026-06-15,C21183,P0001,iPhone 16,Electronics,2,13784,5,26189.6,Bengaluru,Karnataka,ST003,Debit Card
S000140065,2026-06-15,C23016,P0004,Men T-Shirt,Fashion,2,2868,20,4588.8,Pune,Maharashtra,ST006,Credit Card
