sale_id,sale_date,customer_id,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,city,state,store_id,payment_mode
S000170001,2026-06-18,C02396,P0010,Cricket Bat,Sports,4,1867,15,6347.8,Mumbai,Maharashtra,ST002,Credit Card
S000170002,2026-06-18,C34810,P0007,Milk,Grocery,4,31,0,124.0,Ahmedabad,Gujarat,ST008,Debit Card
S000170003,2026-06-18,C37695,P0005,Women's Jeans,Fashion,4,1925,15,6545.0,Chennai,Tamil Nadu,ST005,Debit Card
S000170004,2026-06-18,C40615,P0003,Laptop,Electronics,4,81759,15,277980.6,Mumbai,Maharashtra,ST002,Cash
S000170005,2026-06-18,C28542,P0002,Samsung TV,Electronics,1,66778,10,60100.2,Mumbai,Maharashtra,ST002,UPI
S000170006,2026-06-18,C45997,P0005,Women's Jeans,Fashion,5,3413,20,13652.0,Ahmedabad,Gujarat,ST008,Credit Card
S000170007,2026-06-18,C17694,P0005,Women's Jeans,Fashion,2,1955,10,3519.0,Chennai,Tamil Nadu,ST005,Debit Card
S000170008,2026-06-18,C36594,P0005,Women's Jeans,Fashion,4,2127,5,8082.6,Kolkata,West Bengal,ST007,Debit Card
S000170009,2026-06-18,C26794,P0001,iPhone 16,Electronics,1,46628,20,37302.4,Lucknow,Uttar Pradesh,ST010,Debit Card
S000170010,2026-06-18,C46700,P0007,Milk,Grocery,3,95,0,285.0,Hyderabad,Telangana,ST004,Credit Card
S000170011,2026-06-18,C17395,P0004,Men T-Shirt,Fashion,4,4022,20,12870.4,Kolkata,West Bengal,ST007,Credit Card
S000170012,2026-06-18,C45586,P0001,iPhone 16,Electronics,5,88778,10,399501.0,Chennai,Tamil Nadu,ST005,Credit Card
S000170013,2026-06-18,C09755,P0007,Milk,Grocery,5,21,5,99.75,Ahmedabad,Gujarat,ST008,Cash
S000170014,2026-06-18,C19479,P0008,Dining Table,Home,2,2480,15,4216.0,Delhi,Delhi,ST001,Net Banking
S000170015,2026-06-18,C01333,P0007,Milk,Grocery,1,309,5,293.55,Pune,Maharashtra,ST006,Credit Card
S000170016,2026-06-18,C28733,P0009,Office Chair,Home,1,6903,5,6557.85,Bengaluru,Karnataka,ST003,Net Banking
S000170017,2026-06-18,C34275,P0009,Office Chair,Home,3,4656,10,12571.2,Chennai,Tamil Nadu,ST005,Credit Card
S000170018,2026-06-18,C04999,P0003,Laptop,Electronics,3,52432,5,149431.2,Delhi,Delhi,ST001,Debit Card
S000170019,2026-06-18,C12337,P0010,Cricket Bat,Sports,3,11601,15,29582.55,Chennai,Tamil Nadu,ST005,UPI
S000170020,2026-06-18,C03821,P0004,Men T-Shirt,Fashion,3,3100,15,7905.0,Ahmedabad,Gujarat,ST008,UPI
S000170021,2026-06-18,C30510,P0005,Women's Jeans,Fashion,3,2666,0,7998.0,Lucknow,Uttar Pradesh,ST010,UPI
S000170022,2026-06-18,C37084,P0001,iPhone 16,Electronics,1,16800,5,15960.0,Lucknow,Uttar Pradesh,ST010,Cash
S000170023,2026-06-18,C30759,P0003,Laptop,Electronics,5,16590,20,66360.0,Pune,Maharashtra,ST006,Net Banking
S000170024,2026-06-18,C30466,P0010,Cricket Bat,Sports,1,11402,15,9691.7,Pune,Maharashtra,ST006,Cash
S000170025,2026-06-18,C20805,P0008,Dining Table,Home,3,3094,20,7425.6,Lucknow,Uttar Pradesh,ST010,UPI
S000170026,2026-06-18,C07543,P0003,Laptop,Electronics,5,81332,20,325328.0,Hyderabad,Telangana,ST004,Cash
