sale_id,sale_date,customer_id,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,city,state,store_id,payment_mode
S000010001,2026-06-02,C42038,P0007,Milk,Grocery,5,308,5,1463.0,Mumbai,Maharashtra,ST002,Net Banking
S000010002,2026-06-02,C08251,P0007,Milk,Grocery,5,493,15,2095.25,Delhi,Delhi,ST001,Credit Card
S000010003,2026-06-02,C07317,P0006,Rice Bag,Grocery,2,464,5,881.6,Ahmedabad,Gujarat,ST008,Debit Card
S000010004,2026-06-02,C25753,P0009,Office Chair,Home,5,640,5,3040.0,Hyderabad,Telangana,ST004,Cash
S000010005,2026-06-02,C29630,P0002,Samsung TV,Electronics,5,66794,10,300573.0,Ahmedabad,Gujarat,ST008,UPI
S000010006,2026-06-02,C35269,P0009,Office Chair,Home,3,7106,0,21318.0,Delhi,Delhi,ST001,Cash
S000010007,2026-06-02,C45238,P0003,Laptop,Electronics,4,54282,10,195415.2,Delhi,Delhi,ST001,Debit Card
S000010008,2026-06-02,C21403,P0007,Milk,Grocery,4,133,15,452.2,Pune,Maharashtra,ST006,Cash
S000010009,2026-06-02,C49100,P0004,Men T-Shirt,Fashion,5,1428,5,6783.0,Kolkata,West Bengal,ST007,Credit Card
S000010010,2026-06-02,C40568,P0003,Laptop,Electronics,2,17617,10,31710.6,Bengaluru,Karnataka,ST003,Credit Card
S000010011,2026-06-02,C49507,P0003,Laptop,Electronics,2,74498,20,119196.8,Mumbai,Maharashtra,ST002,UPI
S000010012,2026-06-02,C49124,P0010,Cricket Bat,Sports,1,5251,20,4200.8,Jaipur,Rajasthan,ST009,Credit Card
S000010013,2026-06-02,C29228,P0010,Cricket Bat,Sports,1,12696,0,12696.0,Hyderabad,Telangana,ST004,Cash
S000010014,2026-06-02,C11432,P0004,Men T-Shirt,Fashion,4,2283,15,7762.2,Hyderabad,Telangana,ST004,Debit Card
S000010015,2026-06-02,C41275,P0008,Dining Table,Home,1,1823,5,1731.85,Pune,Maharashtra,ST006,Net Banking
S000010016,2026-06-02,C39345,P0003,Laptop,Electronics,2,30285,0,60570.0,Lucknow,Uttar Pradesh,ST010,Net Banking
S000010017,2026-06-02,C04452,P0004,Men T-Shirt,Fashion,1,2841,10,2556.9,Hyderabad,Telangana,ST004,Cash
S000010018,2026-06-02,C31084,P0005,Women's Jeans,Fashion,3,904,15,2305.2,Delhi,Delhi,ST001,Net Banking
S000010019,2026-06-02,C46263,P0005,Women's Jeans,Fashion,1,2350,20,1880.0,Lucknow,Uttar Pradesh,ST010,UPI
S000010020,2026-06-02,C10186,P0009,Office Chair,Home,4,9999,15,33996.6,Bengaluru,Karnataka,ST003,Credit Card
S000010021,2026-06-02,C49064,P0005,Women's Jeans,Fashion,5,1710,15,7267.5,Lucknow,Uttar Pradesh,ST010,Credit Card
S000010022,2026-06-02,C36764,P0004,Men T-Shirt,Fashion,5,613,0,3065.0,Mumbai,Maharashtra,ST002,Credit Card
S000010023,2026-06-02,C46810,P0004,Men T-Shirt,Fashion,2,2426,15,4124.2,Hyderabad,Telangana,ST004,Net Banking
S000010024,2026-06-02,C49123,P0008,Dining Table,Home,1,5401,0,5401.0,Hyderabad,Telangana,ST004,Cash
S000010025,2026-06-02,C18603,P0008,Dining Table,Home,5,5227,10,23521.5,Kolkata,West Bengal,ST007,UPI
S000010026,2026-06-02,C27565,P0002,Samsung TV,Electronics,1,76207,0,76207.0,Pune,Maharashtra,ST006,Net Banking
S000010027,2026-06-02,C42285,P0002,Samsung TV,Electronics,5,88954,10,400293.0,Delhi,Delhi,ST001,Cash
S000010028,2026-06-02,C43350,P0003,Laptop,Electronics,2,40927,0,81854.0,Lucknow,Uttar Pradesh,ST010,Credit Card
S000010029,2026-06-02,C48659,P0010,Cricket Bat,Sports,5,11965,10,53842.5,Ahmedabad,Gujarat,ST008,Net Banking
S000010030,2026-06-02,C46782,P0009,Office Chair,Home,2,1186,0,2372.0,Lucknow,Uttar Pradesh,ST010,Credit Card
S000010031,2026-06-02,C02541,P0009,Office Chair,Home,1,617,15,524.45,Lucknow,Uttar Pradesh,ST010,Net Banking
S000010032,2026-06-02,C10375,P0004,Men T-Shirt,Fashion,4,2957,15,10053.8,Bengaluru,Karnataka,ST003,Credit Card
S000010033,2026-06-02,C34003,P0004,Men T-Shirt,Fashion,5,3031,10,13639.5,Delhi,Delhi,ST001,UPI
S000010034,2026-06-02,C08102,P0001,iPhone 16,Electronics,2,50244,10,90439.2,Jaipur,Rajasthan,ST009,Net Banking
S000010035,2026-06-02,C16409,P0003,Laptop,Electronics,4,48219,5,183232.2,Pune,Maharashtra,ST006,Credit Card
S000010036,2026-06-02,C17480,P0010,Cricket Bat,Sports,4,8511,10,30639.6,Chennai,Tamil Nadu,ST005,UPI
S000010037,2026-06-02,C35975,P0005,Women's Jeans,Fashion,1,1772,5,1683.4,Ahmedabad,Gujarat,ST008,Cash
S000010038,2026-06-02,C38258,P0003,Laptop,Electronics,1,17246,20,13796.8,Jaipur,Rajasthan,ST009,Credit Card
S000010039,2026-06-02,C04310,P0006,Rice Bag,Grocery,5,463,0,2315.0,Ahmedabad,Gujarat,ST008,UPI
S000010040,2026-06-02,C00695,P0005,Women's Jeans,Fashion,4,1933,5,7345.4,Hyderabad,Telangana,ST004,Net Banking
S000010041,2026-06-02,C20334,P0002,Samsung TV,Electronics,3,28918,10,78078.6,Delhi,Delhi,ST001,Credit Card
S000010042,2026-06-02,C03019,P0006,Rice Bag,Grocery,2,74,0,148.0,Lucknow,Uttar Pradesh,ST010,Cash
S000010043,2026-06-02,C24678,P0003,Laptop,Electronics,3,46911,0,140733.0,Kolkata,West Bengal,ST007,Net Banking
S000010044,2026-06-02,C35925,P0008,Dining Table,Home,5,7299,0,36495.0,Ahmedabad,Gujarat,ST008,Cash
